Year,Ceremony,Award,Winner,Name,Film,Revenue,Budget,Runtime,Vote_average_list,Vote_count,Popularity,Genre,Release_Date
1984,57,Best Picture,0,Places in the Heart ,"Arlene Donovan, Producer",0,0,111,7.3,45,4.2,Drama,1984-09-11
1984,57,Best Picture,0,A Soldier's Story ,"Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers",21821347,6000000,101,6.7,68,4.111,Drama,1984-09-14
1985,58,Best Picture,0,The Color Purple ,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers",146292009,15000000,154,7.8,594,8.424,Drama,1985-12-18
1985,58,Best Picture,0,Kiss of the Spider Woman ,"David Weisman, Producer",0,0,120,7.1,78,4.903,Drama,1985-07-26
1985,58,Best Picture,1,Out of Africa ,"Sydney Pollack, Producer",128499205,31000000,161,7.2,489,7.63,History,1985-12-20
1985,58,Best Picture,0,Prizzi's Honor ,"John Foreman, Producer",26657534,0,124,6.5,126,7.239,Romance,1985-06-14
1985,58,Best Picture,0,Witness ,"Edward S. Feldman, Producer",68706993,12000000,113,7.0,609,7.515,Crime,1985-02-08
1986,59,Best Picture,0,Children of a Lesser God ,"Burt Sugarman and Patrick Palmer, Producers",31853080,0,119,7.0,107,6.905,Drama,1986-09-13
1986,59,Best Picture,0,Hannah and Her Sisters ,"Robert Greenhut, Producer",40084041,6400000,107,7.6,368,11.676,Comedy,1986-02-07
1986,59,Best Picture,0,The Mission ,"Fernando Ghia and David Puttnam, Producers",17218023,24500000,126,7.3,487,7.074,Adventure,1986-09-29
1986,59,Best Picture,1,Platoon ,"Arnold Kopelson, Producer",138530565,6000000,120,7.7,1839,13.081,Drama,1986-12-19
1986,59,Best Picture,0,A Room with a View ,"Ismail Merchant, Producer",20966644,3000000,117,7.1,279,7.391,Drama,1985-12-13
1987,60,Best Picture,0,Broadcast News ,"James L. Brooks, Producer",51249404,20000000,133,6.8,145,5.95,Comedy,1987-12-16
1987,60,Best Picture,0,Fatal Attraction ,"Stanley R. Jaffe and Sherry Lansing, Producers",320145693,14000000,119,6.7,518,11.56,Drama,1987-09-11
1987,60,Best Picture,0,Hope and Glory ,"John Boorman, Producer",0,0,113,6.7,64,2.995,Drama,1987-09-03
1987,60,Best Picture,1,The Last Emperor ,"Jeremy Thomas, Producer",43984230,23000000,163,7.5,544,10.381,Drama,1987-10-21
1987,60,Best Picture,0,Moonstruck ,"Patrick Palmer and Norman Jewison, Producers",80640528,0,102,6.8,295,9.935,Comedy,1987-12-18
1988,61,Best Picture,0,The Accidental Tourist ,"Lawrence Kasdan, Charles Okun and Michael Grillo, Producers",0,0,121,6.2,83,4.859,Drama,1988-12-23
1988,61,Best Picture,0,Dangerous Liaisons ,"Norma Heyman and Hank Moonjean, Producers",34670720,14000000,119,7.2,447,7.489,Drama,1988-12-16
1988,61,Best Picture,0,Mississippi Burning ,"Frederick Zollo and Robert F. Colesberry, Producers",34604000,15000000,128,7.6,557,8.551,Thriller,1988-12-08
1988,61,Best Picture,1,Rain Man ,"Mark Johnson, Producer",412800000,25000000,134,7.7,2723,15.23,Drama,1988-12-11
1988,61,Best Picture,0,Working Girl ,"Douglas Wick, Producer",103173635,28000000,114,6.5,373,8.749,Comedy,1988-12-20
1989,62,Best Picture,0,Born on the Fourth of July ,"A. Kitman Ho and Oliver Stone, Producers",161001698,14000000,145,6.9,634,10.838,Drama,1989-12-20
1989,62,Best Picture,0,Dead Poets Society ,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",235860116,16400000,128,8.3,4851,16.914,Drama,1989-06-02
1989,62,Best Picture,1,Driving Miss Daisy ,"Richard D. Zanuck and Lili Fini Zanuck, Producers",145793296,7500000,99,7.2,551,11.777,Comedy,1989-12-13
1989,62,Best Picture,0,Field of Dreams ,"Lawrence Gordon and Charles Gordon, Producers",84431625,0,107,7.1,589,11.847,Drama,1989-04-21
1989,62,Best Picture,0,My Left Foot ,"Noel Pearson, Producer",14743391,645180,103,7.7,323,8.926,Drama,1989-07-21
1990,63,Best Picture,0,Awakenings ,"Walter F. Parkes and Lawrence Lasker, Producers",52096475,0,120,7.7,933,15.392,Drama,1990-12-04
1990,63,Best Picture,1,Dances With Wolves ,"Jim Wilson and Kevin Costner, Producers",424208848,22000000,181,7.8,1678,16.2,Adventure,1990-11-09
1990,63,Best Picture,0,Ghost ,"Lisa Weinstein, Producer",505000000,22000000,127,7.0,2332,13.86,Fantasy,1990-07-12
1990,63,Best Picture,0,"The Godfather, Part III ","Francis Ford Coppola, Producer",136766062,54000000,162,7.3,2479,15.661,Crime,1990-12-24
1990,63,Best Picture,0,Good Fellas ,"Irwin Winkler, Producer",2500000,927262,107,8.2,643,11.853,Crime,1944-04-24
1991,64,Best Picture,0,Beauty and the Beast ,"Don Hahn, Producer",377350553,25000000,84,7.7,4924,21.628,Romance,1991-11-13
1991,64,Best Picture,0,Bugsy ,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",49114016,30000000,134,6.3,122,6.425,Crime,1991-12-10
1991,64,Best Picture,0,JFK ,"A. Kitman Ho and Oliver Stone, Producers",205405498,40000000,189,7.7,773,8.839,Drama,1991-12-20
1991,64,Best Picture,0,The Prince of Tides ,"Barbra Streisand and Andrew Karsch, Producers",74787599,30000000,132,6.5,94,6.093,Drama,1991-12-25
1991,64,Best Picture,1,The Silence of the Lambs ,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",272742922,19000000,119,8.2,7237,3.942,Crime,1991-02-01
1992,65,Best Picture,0,The Crying Game ,"Stephen Woolley, Producer",62548947,3705538,112,6.9,276,7.564,Romance,1992-09-02
1992,65,Best Picture,0,A Few Good Men ,"David Brown, Rob Reiner and Andrew Scheinman, Producers",243240178,40000000,138,7.3,1383,10.863,Drama,1992-12-11
1992,65,Best Picture,0,Howards End ,"Ismail Merchant, Producer",26126837,0,140,7.2,176,8.043,Drama,1992-03-13
1992,65,Best Picture,0,Scent of a Woman ,"Martin Brest, Producer",134095253,31000000,157,7.5,1160,9.954,Drama,1992-12-23
1992,65,Best Picture,1,Unforgiven ,"Clint Eastwood, Producer",159157447,14000000,131,7.9,1689,16.236,Western,1992-08-07
1993,66,Best Picture,0,The Fugitive ,"Arnold Kopelson, Producer",368875760,44000000,131,7.3,1810,12.165,Adventure,1993-08-06
1993,66,Best Picture,0,In the Name of the Father ,"Jim Sheridan, Producer",65796862,13000000,133,7.9,627,10.367,Drama,1993-12-12
1993,66,Best Picture,0,The Piano ,"Jan Chapman, Producer",116700000,7000000,121,7.3,493,8.411,Drama,1993-05-19
1993,66,Best Picture,0,The Remains of the Day ,"Mike Nichols, John Calley and Ismail Merchant, Producers",23237911,11500000,134,7.6,383,6.128,Drama,1993-11-05
1993,66,Best Picture,1,Schindler's List ,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",321365567,22000000,195,8.5,6808,30.191,Drama,1993-12-15
1994,67,Best Picture,1,Forrest Gump ,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",677945399,55000000,142,8.4,12620,29.936,Comedy,1994-07-06
1994,67,Best Picture,0,Four Weddings and a Funeral ,"Duncan Kenworthy, Producer",254700832,6000000,117,6.7,1098,12.887,Comedy,1994-03-09
1994,67,Best Picture,0,Pulp Fiction ,"Lawrence Bender, Producer",213928762,8000000,154,8.4,13176,28.313,Thriller,1994-09-10
1994,67,Best Picture,0,Quiz Show ,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers",0,0,133,7.3,377,7.277,History,1994-08-25
1994,67,Best Picture,0,The Shawshank Redemption ,"Niki Marvin, Producer",28341469,25000000,142,8.6,11487,30.157,Drama,1994-09-23
1995,68,Best Picture,0,Apollo 13 ,"Brian Grazer, Producer",355237933,52000000,140,7.4,2430,19.403,Drama,1995-06-30
1995,68,Best Picture,0,Babe ,"George Miller, Doug Mitchell and Bill Miller, Producers",254134910,30000000,89,6.1,1273,11.437,Fantasy,1995-07-18
1995,68,Best Picture,1,Braveheart ,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",210000000,72000000,177,7.8,4849,19.06,Action,1995-05-24
1995,68,Best Picture,0,The Postman (Il Postino) ,"Mario Cecchi Gori, Vittorio Cecchi Gori and Gaetano Daniele, Producers",0,0,108,7.9,375,7.96,Comedy,1994-09-22
1995,68,Best Picture,0,Sense and Sensibility ,"Lindsay Doran, Producer",134582776,16000000,136,7.4,589,9.772,Drama,1995-12-13
1996,69,Best Picture,1,The English Patient ,"Saul Zaentz, Producer",231976425,27000000,162,7.1,876,19.982,Drama,1996-11-05
1996,69,Best Picture,0,Fargo ,"Ethan Coen, Producer",60611975,7000000,98,7.8,3302,12.407,Crime,1996-03-08
1996,69,Best Picture,0,Jerry Maguire ,"James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers",273552592,50000000,139,6.8,1396,10.313,Comedy,1996-12-13
1996,69,Best Picture,0,Secrets & Lies ,"Simon Channing-Williams, Producer",13417292,4500000,142,7.5,204,6.641,Drama,1996-05-24
1996,69,Best Picture,0,Shine ,"Jane Scott, Producer",35892330,5500000,105,7.4,233,6.485,Drama,1996-08-15
1997,70,Best Picture,0,As Good as It Gets ,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers",314178011,50000000,139,7.4,1474,13.432,Comedy,1997-12-19
1997,70,Best Picture,0,The Full Monty ,"Uberto Pasolini, Producer",257850122,3500000,91,6.9,655,9.346,Comedy,1997-08-13
1997,70,Best Picture,0,Good Will Hunting ,"Lawrence Bender, Producer",225933435,10000000,127,8.0,4788,16.039,Drama,1997-12-05
1997,70,Best Picture,0,L.A. Confidential ,"Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers",126216940,35000000,138,7.8,2020,12.892,Crime,1997-09-19
1997,70,Best Picture,1,Titanic ,"James Cameron and Jon Landau, Producers",1845034188,200000000,194,7.7,12212,26.375,Drama,1997-11-18
1998,71,Best Picture,0,Elizabeth ,"Alison Owen, Eric Fellner and Tim Bevan, Producers",82150642,30000000,124,7.2,564,8.856,Drama,1998-09-13
1998,71,Best Picture,0,Life Is Beautiful ,"Elda Ferri and Gianluigi Braschi, Producers",229400000,20000000,116,8.4,6174,16.758,Comedy,1997-12-20
1998,71,Best Picture,0,Saving Private Ryan ,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers",481840909,70000000,169,8.0,7323,22.764,Drama,1998-07-24
1998,71,Best Picture,1,Shakespeare in Love ,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",289317794,25000000,122,6.9,1445,17.22,History,1998-12-11
1998,71,Best Picture,0,The Thin Red Line ,"Robert Michael Geisler, John Roberdeau and Grant Hill, Producers",98126565,52000000,170,7.3,1213,14.179,Drama,1998-12-25
1999,72,Best Picture,1,American Beauty ,"Bruce Cohen and Dan Jinks, Producers",356296601,15000000,122,8.0,5565,25.57,Drama,1999-09-15
1999,72,Best Picture,0,The Cider House Rules ,"Richard N. Gladstein, Producer",88545092,24000000,126,7.0,464,7.635,Drama,1999-12-17
1999,72,Best Picture,0,The Green Mile ,"David Valdes and Frank Darabont, Producers",284600000,60000000,189,8.4,6914,23.356,Fantasy,1999-12-10
1999,72,Best Picture,0,The Insider ,"Michael Mann and Pieter Jan Brugge, Producers",60289912,90000000,157,7.4,726,15.512,Drama,1999-10-28
1999,72,Best Picture,0,The Sixth Sense ,"Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers",672806292,40000000,107,7.8,5162,13.968,Mystery,1999-08-06
2000,73,Best Picture,0,Chocolat ,"David Brown, Kit Golden and Leslie Holleran, Producers",152500343,25000000,121,6.9,1577,11.299,Comedy,2000-12-14
2000,73,Best Picture,0,"Crouching Tiger, Hidden Dragon ","Bill Kong, Hsu Li Kong and Ang Lee, Producers",213525736,17000000,120,7.3,1394,14.352,Adventure,2000-07-06
2000,73,Best Picture,0,Erin Brockovich ,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers",256271286,52000000,131,7.2,1250,13.213,Drama,2000-03-17
2000,73,Best Picture,1,Gladiator ,"Douglas Wick, David Franzoni and Branko Lustig, Producers",457640427,103000000,155,8.1,8400,18.719,Action,2000-05-01
2000,73,Best Picture,0,Traffic ,"Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers",207515725,48000000,147,7.0,869,17.675,Thriller,2000-12-27
2001,74,Best Picture,1,A Beautiful Mind ,"Brian Grazer and Ron Howard, Producers",313542341,60000000,135,7.8,4734,18.363,Drama,2001-12-11
2001,74,Best Picture,0,Gosford Park ,"Robert Altman, Bob Balaban and David Levy, Producers",87754044,19800000,137,7.0,394,7.727,Drama,2001-11-07
2001,74,Best Picture,0,In the Bedroom ,"Graham Leader, Ross Katz and Todd Field, Producers",0,1700000,130,6.8,133,5.448,Drama,2001-11-23
2001,74,Best Picture,0,The Lord of the Rings: The Fellowship of the Ring ,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",871368364,93000000,178,8.2,12737,39.207,Adventure,2001-12-18
2001,74,Best Picture,0,Moulin Rouge ,"Martin Brown, Baz Luhrmann and Fred Baron, Producers",0,1500000,119,6.7,28,1.858,Drama,1952-12-23
2002,75,Best Picture,1,Chicago ,"Martin Richards, Producer",306776732,45000000,113,7.1,1117,12.432,Comedy,2002-12-26
2002,75,Best Picture,0,Gangs of New York ,"Alberto Grimaldi and Harvey Weinstein, Producers",193772504,100000000,167,7.2,3001,13.943,Drama,2002-12-14
2002,75,Best Picture,0,The Hours ,"Scott Rudin and Robert Fox, Producers",41597830,25000000,114,7.3,737,7.42,Drama,2002-12-27
2002,75,Best Picture,0,The Lord of the Rings: The Two Towers ,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers",926287400,79000000,179,8.2,10995,45.552,Adventure,2002-12-18
2002,75,Best Picture,0,The Pianist ,"Roman Polanski, Robert Benmussa and Alain Sarde, Producers",120072577,35000000,150,8.2,3233,13.812,Drama,2002-09-24
2003,76,Best Picture,1,The Lord of the Rings: The Return of the King ,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",1118888979,94000000,201,8.4,11607,33.823,Adventure,2003-12-01
2003,76,Best Picture,0,Lost in Translation ,"Ross Katz and Sofia Coppola, Producers",119723856,4000000,102,7.4,2920,13.957,Drama,2003-08-31
2003,76,Best Picture,0,Master and Commander: The Far Side of the World ,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers",212011111,150000000,138,7.1,1275,29.105,Adventure,2003-11-14
2003,76,Best Picture,0,Mystic River ,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers",156822020,25000000,138,7.7,2502,11.124,Thriller,2003-10-07
2003,76,Best Picture,0,Seabiscuit ,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers",148336445,87000000,141,6.9,351,6.509,Drama,2003-07-22
2004,77,Best Picture,0,The Aviator ,"Michael Mann and Graham King, Producers",102000000,116000000,170,7.1,2326,12.216,Drama,2004-12-17
2004,77,Best Picture,0,Finding Neverland ,"Richard N. Gladstein and Nellie Bellflower, Producers",116766556,25000000,106,7.3,2003,14.346,Drama,2004-10-17
2004,77,Best Picture,1,Million Dollar Baby ,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",216763646,30000000,132,7.9,4121,15.944,Drama,2004-12-15
2004,77,Best Picture,0,Ray ,"Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers",124731534,40000000,152,7.3,733,11.438,Drama,2004-10-29
2004,77,Best Picture,0,Sideways ,"Michael London, Producer",109502303,16000000,127,7.1,703,8.645,Comedy,2004-10-22
2005,78,Best Picture,0,Brokeback Mountain ,"Diana Ossana and James Schamus, Producers",178043761,14000000,134,7.7,2749,13.88,Drama,2005-09-10
2005,78,Best Picture,0,Capote ,"Caroline Baron, William Vince and Michael Ohoven, Producers",49084830,7000000,114,7.0,606,6.428,Crime,2005-09-30
2005,78,Best Picture,1,Crash ,"Paul Haggis and Cathy Schulman, Producers",98410061,6500000,112,7.3,1682,15.352,Drama,2005-05-06
2005,78,Best Picture,0,"Good Night, and Good Luck. ","Grant Heslov, Producer",54600000,7000000,93,7.1,393,6.333,Drama,2005-09-16
2005,78,Best Picture,0,Munich ,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers",130358911,70000000,164,7.1,1081,11.591,Drama,2005-12-23
2006,79,Best Picture,0,Babel ,"Alejandro González Iñárritu, Jon Kilik and Steve Golin, Producers",135330182,25000000,143,7.0,1628,12.632,Drama,2006-09-08
2006,79,Best Picture,1,The Departed ,"Graham King, Producer",289847354,90000000,151,8.1,6768,22.673,Drama,2006-10-05
2006,79,Best Picture,0,Letters from Iwo Jima ,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers",68673228,19000000,141,7.4,845,15.302,Action,2006-12-19
2006,79,Best Picture,0,Little Miss Sunshine ,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",100523181,8000000,102,7.6,2941,9.489,Comedy,2006-07-26
2006,79,Best Picture,0,The Queen ,"Andy Harries, Christine Langan and Tracey Seaward, Producers",123384128,15000000,103,7.0,544,7.689,Drama,2006-09-15
2007,80,Best Picture,0,Atonement ,"Tim Bevan, Eric Fellner and Paul Webster, Producers",129266061,30000000,123,7.6,1722,10.516,Drama,2007-08-29
2007,80,Best Picture,0,Juno ,"Lianne Halfon, Mason Novick and Russell Smith, Producers",231411584,7500000,96,7.0,3598,13.332,Comedy,2007-12-05
2007,80,Best Picture,0,Michael Clayton ,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",92991835,25000000,119,6.7,732,11.654,Drama,2007-09-28
2007,80,Best Picture,1,No Country for Old Men ,"Scott Rudin, Ethan Coen and Joel Coen, Producers",171627166,25000000,122,7.9,4952,21.572,Crime,2007-11-08
2007,80,Best Picture,0,There Will Be Blood ,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",77208711,25000000,158,8.0,2470,14.186,Drama,2007-12-28
2008,81,Best Picture,0,The Curious Case of Benjamin Button ,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers",333932083,150000000,166,7.4,5534,17.426,Fantasy,2008-12-25
2008,81,Best Picture,0,Frost/Nixon ,"Brian Grazer, Ron Howard and Eric Fellner, Producers",18593156,25000000,122,7.4,510,8.239,Drama,2008-10-15
2008,81,Best Picture,0,Milk ,"Dan Jinks and Bruce Cohen, Producers",54586584,20000000,128,7.3,984,14.454,History,2008-11-26
2008,81,Best Picture,0,The Reader ,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers",113019290,32000000,124,7.3,1324,11.588,Drama,2008-12-10
2008,81,Best Picture,1,Slumdog Millionaire ,"Christian Colson, Producer",377910544,15000000,120,7.7,4803,13.115,Drama,2008-05-12
2009,82,Best Picture,0,Avatar ,"James Cameron and Jon Landau, Producers",2787965087,237000000,162,7.4,16716,33.738,Action,2009-12-10
2009,82,Best Picture,0,The Blind Side ,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers",309208309,29000000,129,7.4,2396,11.236,Drama,2009-11-20
2009,82,Best Picture,0,District 9 ,"Peter Jackson and Carolynne Cunningham, Producers",210819611,30000000,112,7.3,4850,15.384,Science Fiction,2009-08-05
2009,82,Best Picture,0,An Education ,"Finola Dwyer and Amanda Posey, Producers",26096852,7500000,100,7.0,632,14.13,Drama,2009-10-29
2009,82,Best Picture,1,The Hurt Locker ,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",42000000,15000000,131,7.2,2694,15.7,Drama,2008-10-10
2009,82,Best Picture,0,Inglourious Basterds ,"Lawrence Bender, Producer",319131050,70000000,153,8.1,10222,23.525,Drama,2009-08-18
2009,82,Best Picture,0,Precious: Based on the Novel 'Push' by Sapphire ,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers",47536959,10000000,110,7.1,664,6.896,Drama,2009-11-06
2009,82,Best Picture,0,A Serious Man ,"Joel Coen and Ethan Coen, Producers",31430334,7000000,105,6.7,818,9.32,Comedy,2009-10-02
2009,82,Best Picture,0,Up ,"Jonas Rivera, Producer",735099082,175000000,96,7.9,10769,26.798,Animation,2009-05-28
2009,82,Best Picture,0,Up in the Air ,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers",163670000,25000000,110,6.8,1815,12.695,Drama,2009-09-05
2010,83,Best Picture,0,Black Swan ,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",327803731,13000000,108,7.5,7292,17.403,Drama,2010-12-03
2010,83,Best Picture,0,The Fighter ,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",93617009,25000000,116,7.3,2065,11.394,Drama,2010-12-17
2010,83,Best Picture,0,Inception ,"Emma Thomas and Christopher Nolan, Producers",825532764,160000000,148,8.2,19661,35.172,Action,2010-07-15
2010,83,Best Picture,0,The Kids Are All Right ,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",34705850,3500000,106,6.6,756,7.824,Comedy,2010-07-09
2010,83,Best Picture,1,The King's Speech ,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",414211549,15000000,118,7.7,4321,12.615,Drama,2010-09-06
2010,83,Best Picture,0,127 Hours ,"Christian Colson, Danny Boyle and John Smithson, Producers",35692920,18000000,94,7.0,3876,10.83,Adventure,2010-11-05
2010,83,Best Picture,0,The Social Network ,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers",224920315,40000000,121,7.2,5237,17.273,Drama,2010-10-01
2010,83,Best Picture,0,Toy Story 3 ,"Darla K. Anderson, Producer",1066969703,200000000,103,7.7,7220,18.353,Animation,2010-06-16
2010,83,Best Picture,0,True Grit ,"Scott Rudin, Ethan Coen and Joel Coen, Producers",252276927,38000000,110,7.2,2438,13.034,Drama,2010-12-22
2010,83,Best Picture,0,Winter's Bone ,"Anne Rosellini and Alix Madigan-Yorkin, Producers",13831503,2000000,101,6.9,825,9.68,Drama,2010-06-11
2011,84,Best Picture,1,The Artist ,"Thomas Langmann, Producer",133432856,15000000,100,7.4,1565,6.431,Drama,2011-06-26
2011,84,Best Picture,0,The Descendants ,"Jim Burke, Alexander Payne and Jim Taylor, Producers",177243185,20000000,115,6.8,1348,11.279,Comedy,2011-09-09
2011,84,Best Picture,0,Extremely Loud & Incredibly Close ,"Scott Rudin, Producer",55247881,40000000,129,7.0,1092,8.101,Drama,2011-12-24
2011,84,Best Picture,0,The Help ,"Brunson Green, Chris Columbus and Michael Barnathan, Producers",124272124,25000000,146,8.1,3311,12.081,Drama,2011-08-09
2011,84,Best Picture,0,Hugo ,"Graham King and Martin Scorsese, Producers",185770160,170000000,126,7.1,3492,11.906,Adventure,2011-11-22
2011,84,Best Picture,0,Midnight in Paris ,"Letty Aronson and Stephen Tenenbaum, Producers",151119219,30000000,94,7.5,3352,11.644,Fantasy,2011-05-11
2011,84,Best Picture,0,Moneyball ,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers",110206216,50000000,134,7.1,1995,14.0,Drama,2011-09-22
2011,84,Best Picture,0,The Tree of Life ,"Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers",54674226,32000000,139,6.6,1512,14.141,Drama,2011-05-18
2011,84,Best Picture,0,War Horse ,"Steven Spielberg and Kathleen Kennedy, Producers",177584879,66000000,146,7.2,1591,12.439,Drama,2011-12-25
2012,85,Best Picture,0,Amour ,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers",29844753,8900000,127,7.7,635,8.368,Drama,2012-07-01
2012,85,Best Picture,1,Argo ,"Grant Heslov, Ben Affleck and George Clooney, Producers",232324128,44500000,120,7.2,4621,13.35,Drama,2012-10-11
2012,85,Best Picture,0,Beasts of the Southern Wild ,"Dan Janvey, Josh Penn and Michael Gottwald, Producers",21107746,1800000,93,6.9,556,6.877,Drama,2012-06-29
2012,85,Best Picture,0,Django Unchained ,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers",425368238,100000000,165,8.0,13931,21.311,Drama,2012-12-25
2012,85,Best Picture,0,Les Misérables ,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers",441809770,61000000,157,7.3,2847,14.299,History,2012-12-18
2012,85,Best Picture,0,Life of Pi ,"Gil Netter, Ang Lee and David Womark, Producers",609016565,120000000,127,7.3,7894,16.349,Adventure,2012-11-20
2012,85,Best Picture,0,Lincoln ,"Steven Spielberg and Kathleen Kennedy, Producers",275293450,65000000,149,6.8,2004,13.719,History,2012-11-09
2012,85,Best Picture,0,Silver Linings Playbook ,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers",236412453,21000000,122,7.0,6765,13.231,Drama,2012-09-08
2012,85,Best Picture,0,Zero Dark Thirty ,"Mark Boal, Kathryn Bigelow and Megan Ellison, Producers",132820716,40000000,157,6.9,2298,11.084,Thriller,2012-12-19
2013,86,Best Picture,0,American Hustle ,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers",251171807,40000000,138,6.8,3969,9.527,Drama,2013-12-12
2013,86,Best Picture,0,Captain Phillips ,"Scott Rudin, Dana Brunetti and Michael De Luca, Producers",95000000,55000000,134,7.6,3469,10.964,Action,2013-10-10
2013,86,Best Picture,0,Dallas Buyers Club ,"Robbie Brenner and Rachel Winter, Producers",55198285,5000000,117,7.9,4312,12.823,Drama,2013-11-17
2013,86,Best Picture,0,Gravity ,"Alfonso Cuarón and David Heyman, Producers",716392705,105000000,91,7.2,8383,21.297,Science Fiction,2013-10-03
2013,86,Best Picture,0,Her ,"Megan Ellison, Spike Jonze and Vincent Landay, Producers",47351251,23000000,126,7.9,6534,16.093,Romance,2013-12-18
2013,86,Best Picture,0,Nebraska ,"Albert Berger and Ron Yerxa, Producers",17654912,12000000,115,7.4,862,7.329,Drama,2013-09-21
2013,86,Best Picture,0,Philomena ,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers",100129872,12000000,98,7.4,832,7.691,Drama,2013-11-01
2013,86,Best Picture,1,12 Years a Slave ,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",187000000,20000000,134,7.9,5711,17.342,Drama,2013-10-18
2013,86,Best Picture,0,The Wolf of Wall Street ,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers",392000694,100000000,180,7.9,10551,23.136,Crime,2013-12-25
2014,87,Best Picture,0,American Sniper ,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers",542307423,58800000,133,7.4,6649,12.623,War,2014-12-11
2014,87,Best Picture,1,Birdman or (The Unexpected Virtue of Ignorance) ,"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers",103215094,18000000,120,7.4,6651,24.016,Drama,2014-08-27
2014,87,Best Picture,0,Boyhood ,"Richard Linklater and Cathleen Sutherland, Producers",44349000,4000000,164,7.5,2754,13.919,Drama,2014-06-05
2014,87,Best Picture,0,The Grand Budapest Hotel ,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers",174600318,30000000,99,8.0,6966,19.421,Comedy,2014-02-26
2014,87,Best Picture,0,The Imitation Game ,"Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers",233555708,14000000,113,8.1,9107,34.808,History,2014-11-14
2014,87,Best Picture,0,Selma ,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers",66787908,20000000,127,7.5,1178,6.968,History,2014-12-25
2014,87,Best Picture,0,The Theory of Everything ,"Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers",123726688,15000000,123,7.9,5477,26.253,Drama,2014-11-26
